source_text,translated_text,context
"({0} already in DB, skipped)","({0} đã có trong DB, bỏ qua)",
+ {0} more errors,+ {0} lỗi nữa,
+ {0} more files,+ {0} file nữa,
+ {0} more rows,+ {0} dòng nữa,
+ {0} more steps,+ {0} bước nữa,
"<span class=""h4""><b>Quick Actions</b></span>","<span class=""h4""><b>Thao tác nhanh</b></span>",
A job is already running.,Đã có tác vụ đang chạy.,
Accept & Import This Plan,Chấp nhận & import theo kế hoạch này,
Account Balance,Số dư TK,
Accounting,Kế toán,
Accounting Balances,Số dư kế toán,
Actions,Hành động,
Added {0} dependency steps - re-importing,Đã thêm {0} bước phụ thuộc - bắt đầu import lại,
AI Analysis JSON,JSON phân tích AI,
AI Analyze Files,AI phân tích file,
AI Analyzing,AI phân tích,
AI Analyzing Opening Files,AI đang phân tích file đầu kỳ,
"AI classifies, backend runs fixed handlers","AI phân loại, backend chạy handler cố định",
AI Classify,AI phân loại,
AI Confidence,Độ tin cậy AI,
AI Connection,Kết nối AI,
AI Could Not Fix,AI không sửa được,
AI Could Not Fix - Manual Action Needed,AI không sửa được - cần xử lý thủ công,
AI did not patch any fields; the plan may already be valid or the error is outside auto-fix scope.,AI không sửa field nào - plan có thể đã hợp lệ hoặc lỗi nằm ngoài phạm vi tự sửa.,
AI did not return a fixed plan.,AI không trả về kế hoạch đã sửa.,
AI did not return a valid import script.,AI chưa trả về script import hợp lệ.,
AI did not return a valid plan.,AI chưa trả về kế hoạch hợp lệ.,
AI Error Fix,Sửa lỗi bằng AI,
AI failed.,AI thất bại.,
AI Fix & Re-import,AI fix & import lại,
AI Fixed the Error - Review Before Re-running,AI đã sửa lỗi - vui lòng kiểm tra trước khi chạy script lại,
AI fixed the error row and is continuing with the patched plan.,AI đã sửa dòng lỗi - đang chạy tiếp từ plan đã vá.,
AI Fixing Error...,AI đang sửa lỗi...,
AI Import,Import tự động (AI),
AI Import Assistant,Trợ lý AI Import,
AI Import List,Danh sách Import tự động,
AI Import Settings,Cài đặt Import AI,
AI is reanalyzing with this feedback...,AI đang phân tích lại theo ý kiến này...,
"AI only identifies file type, headers, and handlers; import data is handled by Python.","AI chỉ nhận diện loại file, header và handler; dữ liệu import vẫn chạy bằng Python hardcode.",
AI Proposed Resolution,Hướng xử lý AI đề xuất,
AI reanalyzes this file and waits for your approval before import,"AI phân tích lại file này, đề xuất hướng xử lý, rồi chờ bạn chấp nhận trước khi import",
AI Resolution Proposal - {0},AI đề xuất hướng xử lý - {0},
AI Resolve,AI xử lý,
AI Settings,Cài đặt AI,
AI settings are shared by all automatic import documents.,Cài đặt AI dùng chung cho tất cả chứng từ import tự động.,
"AI will reanalyze this file, suggest DocTypes/steps, and import only after your approval. Continue?","AI sẽ phân tích lại file này, đề xuất DocType/các bước xử lý và chỉ import sau khi bạn chấp nhận kế hoạch. Tiếp tục?",
AI-applied Fixes,Các sửa đổi AI thực hiện,
AI-proposed Dependency Data,Dữ liệu phụ thuộc AI đề xuất tạo mới,
All,Tất cả,
Allow,Cho phép,
Allow creating if Opening Entry exists,Cho phép tạo thêm nếu đã có Opening Entry,
Allow creating if same-source documents exist,Cho phép tạo thêm nếu đã có chứng từ cùng nguồn,
Allow creating if same-source Stock Reconciliation exists,Cho phép tạo thêm nếu đã có Stock Reconciliation cùng nguồn,
Allow Duplicate Creation,Cho phép tạo thêm,
Allow stock account balance difference,Cho phép lệch với số dư tài khoản kho,
An error occurred during import.,Có lỗi xảy ra trong khi import.,
An error occurred during processing.,Có lỗi xảy ra khi xử lý.,
An error occurred while AI was fixing.,Có lỗi xảy ra khi AI sửa lỗi.,
Analysis,Phân tích,
Analysis JSON,JSON phân tích,
Analysis Note,Ghi chú phân tích,
Analyze,Phân tích,
Analyze & Generate AI Script,Phân tích & tạo script AI,
Analyze Files,Phân tích file,
Analyzed,Đã phân tích,
Analyzing,Đang phân tích,
Analyzing files...,Đang phân tích file...,
Applying,Áp dụng,
Assign stock account for correct GL posting,Gắn account kho để GL vào đúng tài khoản,
Assign Stock Accounts,Gắn tài khoản kho,
Attempt {0},Lần {0},
Background job is still running. Large files may take a few minutes.,Job nền vẫn đang hoạt động. File lớn có thể mất vài phút.,
Balanced,Đã cân,
Balances/JE,Số dư/JE,
Bank,Ngân hàng,
Block,Chặn,
Building Mapping,Đang lập mapping,
Building plan...,Đang dựng kế hoạch...,
Can be blank if configured in Import Auto Settings or site_config.,Có thể để trống nếu đã cấu hình Import Auto Settings hoặc site_config.,
Cannot Create Plan,Không tạo được kế hoạch,
Cannot generate an import script for this file.,Không tạo được script import cho tệp này.,
Cannot Import Yet,Chưa thể import,
Cannot Merge Dependency Steps,Không ghép được bước phụ thuộc,
Cannot read import row list.,Không đọc được danh sách dòng import.,
Check AI Connection,Kiểm tra kết nối AI,
Check whether data already exists,Kiểm tra dữ liệu đã có trong cơ sở dữ liệu chưa,
Checked - no duplicates. Click to rerun.,Đã đối chiếu - không trùng. Bấm để chạy lại.,
Checked DocType,DocType đối chiếu,
Checking against database...,Đang đối chiếu với cơ sở dữ liệu...,
Checking AI connection...,Đang kiểm tra kết nối AI...,
Checking data and links before writing.,Đang kiểm tra dữ liệu và liên kết trước khi ghi.,
Click <b>Scan Excel Files</b> to list files in the folder.,Bấm <b>Quét tệp Excel</b> để liệt kê tất cả tệp trong thư mục.,
Click AI Analyze Files to create the processing list.,Bấm AI phân tích file để tạo danh sách xử lý.,
Click Reanalyze after entering instructions so AI can rebuild the plan.,Bấm 'Phân tích lại' bên dưới sau khi nhập để AI lập lại kế hoạch.,
Close,Đóng,
columns,cột,
"Combining account, party, and bank balances into an opening journal entry.","Hệ thống đang gom số dư tài khoản, công nợ và ngân hàng để tạo bút toán đầu kỳ.",
Company,Công ty,
Complete,Hoàn tất,
Completed,Hoàn thành,
Completed with Fallback,Hoàn tất bằng fallback,
Confidence,Độ tin cậy,
Confirm Create,Xác nhận tạo,
Confirmation needed to create masters,Cần xác nhận để tạo Customer/Supplier/Employee,
Confirmation Required,Cần xác nhận,
Connection interrupted or server returned an error.,Kết nối bị gián đoạn hoặc server trả lỗi.,
