"_report","_báo cáo"
", doc) }}&lt;/td&gt;|||			&lt;td style=""width: 15%; text-align: right;""&gt;{{|||				row.get_formatted(""amount""",", doc) }}&lt;/td&gt;|||		&lt;/tr&gt;|||		{%- endfor -%}|||	&lt;/tbody&gt;|||&lt;/table&gt;</code></pre>|||<hr>|||<h4>Common Functions</h4>|||<table class=""table table-bordered"">|||	<tbody>|||		<tr>|||			<td style=""width: 30%;""><code>doc.get_formatted(""[fieldname]"""
"; not allowed in condition","; không được phép trong điều kiện"
"(A) Qty After Transaction","(A) Số lượng sau khi giao dịch"
"(B) Expected Qty After Transaction","(B) Số lượng dự kiến ​​sau khi giao dịch"
"(C) Total Qty in Queue","(C) Tổng số lượng trong hàng đợi"
"(C) Total qty in queue","(C) Tổng số lượng trong hàng đợi"
"(D) Balance Stock Value","(D) Giá trị tồn kho cân bằng"
"(Daily Yield * No of Units Produced) / 100","(Sản lượng hàng ngày * Số lượng đơn vị sản xuất) / 100"
"(E) Balance Stock Value in Queue","(E) Cân bằng giá trị tồn kho trong hàng đợi"
"(F) Change in Stock Value","(F) Thay đổi giá trị tồn kho"
"(Forecast)","(Dự báo)"
"(G) Sum of Change in Stock Value","(G) Tổng thay đổi giá trị tồn kho"
"(Good Units Produced / Total Units Produced) × 100","(Số lượng sản phẩm tốt được sản xuất / Tổng số sản phẩm được sản xuất) × 100"
"(H) Change in Stock Value (FIFO Queue)","(H) Thay đổi giá trị tồn kho (Hàng đợi FIFO)"
"(H) Valuation Rate","(H) Tỷ lệ định giá"
"(Hour Rate / 60) * Actual Operation Time","(Tỷ lệ giờ / 60) * Thời gian hoạt động thực tế"
"(I) Valuation Rate","(I) Tỷ lệ định giá"
"(including)","(bao gồm)"
"(J) Valuation Rate as per FIFO","(J) Tỷ lệ định giá theo FIFO"
"(K) Valuation = Value (D) ÷ Qty (A)","(K) Định giá = Giá trị (D) ÷ Số lượng (A)"
"(Mandatory)","(Bắt buộc)"
"(Purchase Order + Material Request + Actual Expense)","(Lệnh mua hàng + Yêu cầu vật tư + Chi phí thực tế)"
"(Total Workstation Time / Manufacturing Time) * 60","(Tổng thời gian làm việc / Thời gian sản xuất) * 60"
"[Action taken by {0}]","[Hành động được thực hiện bởi {0}]"
"[Important] [ERPNext] Auto Reorder Errors","[Quan trọng] [ERPNext] Lỗi tự động đặt hàng lại"
"{{{0}}} is not a valid fieldname pattern. It should be {{field_name}}.","{{{0}}} không phải là Biểu mẫu tên trường hợp lệ. Biểu mẫu này phải là {{field_name}}."
"{} {} is already linked with {} {}","{} {} đã được liên kết với {} {}"
"{} {} is already linked with another {}","{} {} đã được liên kết với một {} khác"
"{} {} is not affecting bank account {}","{} {} không ảnh hưởng đến tài khoản ngân hàng {}"
"{} can't be cancelled since the Loyalty Points earned has been redeemed. First cancel the {} No {}","Không thể hủy {} vì Điểm trung thành đã được tích lũy. Trước tiên, hãy hủy {} Không {}"
"{} Complete","{} Hoàn thành"
"{} does not support automated log clearing.","{} không hỗ trợ xóa nhật ký tự động."
"{} field cannot be empty.","Trường {} không được để trống."
"{} has been disabled. It can only be enabled if {} is checked.","{} đã bị vô hiệu hóa. Chỉ có thể bật lại nếu {} được chọn."
"{} has submitted assets linked to it. You need to cancel the assets to create purchase return.","{} đã ghi sổ tài sản được liên kết đến nó. Bạn cần hủy tài sản để tạo đơn hàng trả lại."
"{} Invalid python code on line {}","{} Mã python không hợp lệ trên dòng {}"
"{} is a child company.","{} là một công ty con."
"{} is not a valid date string.","{} không phải là Sê-ri ngày hợp lệ."
"{} not found in PATH! This is required to access the console.","Không tìm thấy {} trong PATH! Điều này là bắt buộc để truy cập trình điều khiển."
"{} not found in PATH! This is required to restore the database.","Không tìm thấy {} trong PATH! Điều này là bắt buộc để khôi phục cơ sở dữ liệu."
"{} not found in PATH! This is required to take a backup.","Không tìm thấy {} trong PATH! Điều này là bắt buộc để sao lưu."
"{} Possibly invalid python code. <br>{}","{} Có thể mã python không hợp lệ. <br>{}"
"{0} '{1}' is disabled","{0} '{1}' bị vô hiệu hóa"
"{0} '{1}' not in Fiscal Year {2}","{0} '{1}' không nằm trong Năm tài chính {2}"
"{0} ({1}) (1 row mandatory)","{0} ({1}) (bắt buộc phải có 1 hàng)"
"{0} ({1}) cannot be greater than planned quantity ({2}) in Work Order {3}","{0} ({1}) không thể lớn hơn số lượng dự kiến ​​({2}) trong Lệnh làm việc {3}"
"{0} {1} added","{0} {1} đã thêm"
"{0} {1} added to Dashboard {2}","{0} {1} đã được thêm vào bảng thông tin quản lý {2}"
"{0} {1} already exists","{0} {1} đã tồn tại"
"{0} {1} cannot be ""{2}"". It should be one of ""{3}""","{0} {1} không thể là ""{2}"". Nó phải là một trong ""{3}"""
"{0} {1} cannot be a leaf node as it has children","{0} {1} không thể là một nút lá vì nó có các nút con"
"{0} {1} cannot be updated. If you need to make changes, we recommend canceling the existing entry and creating a new one.","Không thể cập nhật {0} {1}. Nếu bạn cần thay đổi, chúng tôi khuyên bạn nên hủy mặt hàng hiện tại và tạo mặt hàng mới."
"{0} {1} created","{0} {1} đã tạo"
"{0} {1} does not exist","{0} {1} không tồn tại"
"{0} {1} does not exist, select a new target to merge","{0} {1} không tồn tại, hãy chọn mặt hàng tiêu mới để hợp nhất"
"{0} {1} has accounting entries in currency {2} for company {3}. Please select a receivable or payable account with currency {2}.","{0} {1} có các mặt hàng kế toán theo đơn vị tiền tệ {2} cho công ty {3}. Vui lòng chọn tài khoản phải thu hoặc phải trả theo đơn vị tiền tệ {2}."
"{0} {1} has already been fully paid.","{0} {1} đã được thanh toán đầy đủ."
"{0} {1} has already been partly paid. Please use the 'Get Outstanding Invoice' or the 'Get Outstanding Orders' button to get the latest outstanding amounts.","{0} {1} đã được thanh toán một phần. Vui lòng sử dụng nút 'Lấy Hóa đơn Chưa thanh toán' hoặc 'Lấy Đơn hàng Chưa thanh toán' để biết số tiền chưa thanh toán gần nhất."
"{0} {1} has been modified. Please refresh.","{0} {1} đã được sửa đổi. Vui lòng làm mới."
"{0} {1} has not been submitted so the action cannot be completed","{0} {1} chưa được ghi sổ nên hành động không thể hoàn tất"
"{0} {1} is allocated twice in this Bank Transaction","{0} {1} được phân bổ hai lần trong Giao dịch Ngân hàng này"
"{0} {1} is already linked to Common Code {2}.","{0} {1} đã được liên kết với Bộ luật chung {2}."
"{0} {1} is associated with {2}, but Party Account is {3}","{0} {1} được liên kết với {2}, nhưng Tài khoản bên là {3}"
"{0} {1} is cancelled or closed","{0} {1} bị hủy hoặc đóng"
"{0} {1} is cancelled or stopped","{0} {1} bị hủy hoặc dừng"
"{0} {1} is cancelled so the action cannot be completed","{0} {1} bị hủy nên hành động không thể hoàn thành"
"{0} {1} is closed","{0} {1} đã đóng"
"{0} {1} is disabled","{0} {1} bị vô hiệu hóa"
"{0} {1} is frozen","{0} {1} bị phong tỏa (dừng hoạt động)"
"{0} {1} is fully billed","{0} {1} đã được thanh toán đầy đủ"
"{0} {1} is linked with the following submitted documents: {2}","{0} {1} được liên kết với các tài liệu đã ghi sổ sau đây: {2}"
"{0} {1} is not active","{0} {1} không hoạt động"
"{0} {1} is not associated with {2} {3}","{0} {1} không liên quan đến {2} {3}"
"{0} {1} is not in any active Fiscal Year","{0} {1} không nằm trong bất kỳ Năm tài chính nào đang hoạt động"
"{0} {1} is not submitted","{0} {1} không được ghi sổ"
"{0} {1} is on hold","{0} {1} đang bị giữ lại"
"{0} {1} Manually","{0} {1} Thủ công"
"{0} {1} must be submitted","{0} {1} phải được ghi sổ"
"{0} {1} not allowed to be reposted. Modify {2} to enable reposting.","{0} {1} không được phép đăng lại. Sửa đổi {2} để cho phép đăng lại."
"{0} {1} not found","{0} {1} không tìm thấy"
"{0} {1} Partially Reconciled","{0} {1} Đã hòa giải một phần"
"{0} {1} status is {2}","{0} {1} trạng thái là {2}"
"{0} {1} via CSV File","{0} {1} qua Tệp CSV"
"{0} {1}: 'Profit and Loss' type account {2} not allowed in Opening Entry","{0} {1}: Tài khoản loại 'Lãi và lỗ' {2} không được phép trong định khoản mở đầu"
