"Recurring","Định kỳ"
"One-off","Một lần"
"Prepay","Trả trước"
"Monthly","Hàng tháng"
"OneOff","Một lần"
"Draft","Nháp"
"Active","Hoạt động"
"Suspended","Tạm ngưng"
"Revised","Đã sửa đổi"
"Cancelled","Đã hủy"
"Expired","Hết hạn"
"Projected","Dự kiến"
"Invoiced","Đã xuất HĐ"
"Paid","Đã thu"
"Overdue","Quá hạn"
"Written Off","Đã xóa nợ"
"Setup Fee","Phí lắp đặt"
"Service","Dịch vụ"
"Half-up","Làm tròn lên"
"Bankers","Làm tròn ngân hàng"
"Telecom","Viễn thông"
"IT","CNTT"
"Equipment","VTTB"
"Construction","Thi công"
"DCNet Contract","Hợp đồng DCNET"
"DCNet Contract Item","Hạng mục hợp đồng"
"DCNet Contract Billing Schedule","Lịch thanh toán"
"DCNet Contract Settings","Cài đặt hợp đồng"
"DCNet Contract Template","Mẫu hợp đồng"
"Customer","Khách hàng"
"Customer Name","Tên khách hàng"
"Sales Person","Nhân viên kinh doanh"
"Sales Person Name","Tên NVKD"
"Department","Phòng ban"
"Branch","Chi nhánh"
"Company","Công ty"
"External Contract No","Số hợp đồng giấy"
"Project Category","Nhóm dự án"
"Service Type","Loại dịch vụ"
"Package Name","Tên gói / Băng thông"
"Installation Address","Địa điểm lắp đặt (điểm đầu - điểm cuối)"
"Contract Date","Ngày ký hợp đồng"
"Acceptance Date","Ngày nghiệm thu / kích hoạt dịch vụ"
"Appendix No","Phụ lục số"
"Appendix Date","Ngày phụ lục"
"End Date","Ngày kết thúc"
"Contract Type","Loại hợp đồng"
"Package Term (Months)","Thời hạn gói (tháng)"
"Payment Mode","Hình thức thanh toán"
"Items","Hạng mục"
"Unit Price Total","Tổng đơn giá"
"Setup Fee (One-time)","Phí lắp đặt (một lần)"
"Grand Total","Tổng giá trị hợp đồng"
"Currency","Đơn vị tiền tệ"
"Billing Schedule","Lịch thanh toán"
"Status","Trạng thái"
"Item Label","Hạng mục"
"UOM","Đơn vị tính"
"Qty","Số lượng"
"Unit Price","Đơn giá (chưa VAT)"
"Amount Per Period","Thành tiền / kỳ"
"ERPNext Item","Mã hàng ERPNext"
"Description","Mô tả"
"Month Index","Kỳ thứ"
"Period Start","Ngày bắt đầu kỳ"
"Period End","Ngày kết thúc kỳ"
