source_text,translated_text,context
Date of Birth cannot be in the future.,Ngày sinh không được lớn hơn ngày hiện tại.,
Please enter a valid Date of Birth (age between 4 and 90).,Vui lòng nhập Ngày sinh hợp lệ (tuổi từ 4 đến 90).,
"Import file contains {0} rows which exceeds the maximum limit of {1} rows. Please split your file into smaller batches.","File import chứa {0} dòng, vượt quá giới hạn tối đa {1} dòng. Vui lòng chia file thành các phần nhỏ hơn.",
Import Row Limit Exceeded,Vượt quá giới hạn dòng Import,
Customer Source,Nguồn khách hàng,
Revenue,Doanh số,
Unknown,Không rõ,
Order Source,Nguồn đơn hàng,
Item Code,Mã sản phẩm,
Item Name,Tên sản phẩm,
Qty,Số lượng bán,
Expired Status,Trạng thái lô hết hạn,
Exclude Expired,Không bao gồm đã hết hạn,
Expired Only,Chỉ lô đã hết hạn,
The following products are running low on stock,Các sản phẩm sau đang sắp hết hàng,
Please create a Material Request to replenish stock,Vui lòng tạo Yêu cầu nhập hàng để bổ sung tồn kho,
Low Stock Warning,Cảnh báo tồn kho thấp,
Create Material Request,Tạo yêu cầu nhập hàng,
"Low Stock Warning - {0}","Cảnh báo tồn kho thấp - {0}",
"Sales Order","Đơn hàng bán",
"contains items with stock levels at or below safety stock","chứa sản phẩm có mức tồn kho bằng hoặc thấp hơn mức an toàn",
Ordered Qty,Số lượng đặt hàng,
Warehouse,Kho,
Actual Qty,Số lượng thực tế,
Safety Stock,Mức tồn kho an toàn,
"{0} Items Near Expiry Warning ({1} Days)","{0} sản phẩm sắp hết hạn ({1} ngày)",
"The following {0} batches are expiring within the next {1} days","Các {0} lô hàng sau sẽ hết hạn trong vòng {1} ngày tới",
"Daily Low Stock Summary","Tóm tắt tồn kho thấp hàng ngày",
"Items Near Expiry Warning ({0} Days)","Cảnh báo sản phẩm sắp hết hạn ({0} ngày)",
"The following products are currently at or below their safety stock levels","Các sản phẩm sau hiện đang ở mức hoặc dưới mức tồn kho an toàn",
"Please review and create Material Requests as needed.","Vui lòng kiểm tra và tạo Yêu cầu vật tư nếu cần.",
"Please consider prioritizing these items or applying discounts.","Vui lòng xem xét ưu tiên bán các mặt hàng này hoặc áp dụng giảm giá.",
"Items Near Expiry Warning (7 Days)","Cảnh báo sản phẩm sắp hết hạn (7 ngày)",
"The following batches are expiring within the next 7 days","Các lô hàng sau sẽ hết hạn trong vòng 7 ngày tới",
"Batch","Số lô",
"Expiry Date","Ngày hết hạn",
"Days Left","Số ngày còn lại",
"Today, there are {0} items with low stock","Hôm nay, có {0} sản phẩm đang bị tồn kho thấp",
"The following {0} items are currently at or below their safety stock levels","{0} sản phẩm sau hiện đang ở mức hoặc dưới mức tồn kho an toàn",
"Low Stock Alert","Cảnh báo tồn kho thấp",
"Batch Near Expiry Status","Tình trạng lô hàng sắp hết hạn",
"This safety stock level applies to each warehouse individually and does not apply globally to all warehouses (no consolidation).","Mức tồn kho an toàn này áp dụng riêng biệt cho từng kho và không áp dụng chung cho tất cả các kho (không tính tổng).",
Item Lifecycle,Vòng đời sản phẩm,
Submit for Approval, Gửi Phê Duyệt,
Awaiting Approval, Chờ Duyệt,
Approve, Duyệt Nhập Kho,
Received into Inventory, Đã Nhập Kho,
Utility Items,Vật dụng,
Trade‑in,Thu cũ đổi mới,
Retail,Bán lẻ,
Wholesale,Bán buôn,
Sales Channel,Kênh bán hàng,
Serial No Warranty Status,Trạng thái bảo hành Serial,
Warranty Status,Xem bảo hành,
"1. Snapshot Metrics (Dependent only on To Date)","1. Chỉ số chốt tại thời điểm định vị (Chỉ phụ thuộc vào To Date)",
"Report: Sales Velocity and Inventory Days","Báo cáo Tốc độ bán hàng & Tuổi hàng",
"Analysis Period","Chu kỳ phân tích",
"Aggregation Unit","Đơn vị thống kê",
"Age Details","Chi tiết Tuổi hàng",
"Stock quantity available exactly at To Date.","Lượng tồn kho thực tế chốt tại thời điểm To Date.",
"Detailed breakdown of batch quantities and their days in stock.","Chi tiết phân bổ số lượng lô hàng và tuổi tồn kho.",
"Weighted average age of remaining stock based on FIFO.","Tuổi trung bình tồn kho chốt tại To Date.",
"2. Period Metrics (From Date to To Date)","2. Chỉ số theo giai đoạn (Từ From Date &rarr; To Date)",
"Total outgoing quantity from stock during the timeframe.","Tổng lượng xuất kho trong khoảng thời gian phân tích.",
"Total Sold Qty ÷ Number of Periods. Indicates average sales speed during the timeframe.","Tổng lượng bán ÷ Số chu kỳ. Khắc hoạ tốc độ bán trung bình.",
"Available Qty ÷ Avg Daily Sales. Estimated number of days the current stock will last.","Available Qty ÷ Tốc độ bán ngày. Cảnh báo số ngày cạn kho.",
"3. Metrics Guidance & Analysis","3. Hướng dẫn đọc chỉ số & Phân tích",
"Evaluating Sales Velocity (Inventory Days):","Đánh giá sức bán (Inventory Days):",
"days","ngày",
"No sales recorded, demand stimulation needed.","Không có lượt bán nào &rarr; Cần có chiến dịch kích cầu.",
"Fast-moving stock, monitor closely for timely restocking.","Hàng luân chuyển rất nhanh &rarr; Theo dõi để kịp thời nhập hàng.",
"Stable stock turnover.","Trạng thái luân chuyển ổn định.",
"High stagnation risk, plan for discount or liquidation.","Rủi ro tồn đọng cao &rarr; Lên phương án giảm giá, thanh lý.",
"Inventory Days x Average Age Matrix:","Ma trận kết hợp Inventory Days x Average Age:",
"Both High","Cùng Cao",
"Old stock with slow sales, highest priority for clearance.","(Tồn lâu, tiêu thụ chậm) &rarr; Chuẩn bị phương án xả hàng.",
"Both Low","Cùng Thấp",
"Fresh stock with fast sales, excellent flagship product.","(Hàng mới về, bán cực nhanh) &rarr; Rất tốt, sản phẩm mũi nhọn.",
"Low Days, High Age","Days thấp + Age cao",
"Selling old stock fast, good sign of effective clearance.","(Bán nhanh lô hàng cũ) &rarr; Dấu hiệu đang thanh lý kho tốt.",
"High Days, Low Age","Days cao + Age thấp",
"Fresh stock but slow sales, need to review sales plan.","(Hàng mới nằm ế) &rarr; Cần review lại kế hoạch bán hàng.",
