source,translated,context
T,T,Number system
B,Tỷ,Number system
M,Tr,Number system
K,N,Number system
VN Accounting,Kế Toán VN
VN Accounting Dashboard,Tổng Quan Kế Toán
Branch Cash Entry,Phiếu Quỹ Chi Nhánh
Internal Summary Entry,Bút toán tổng hợp nội bộ
Branch Cash Access,Phân quyền quỹ chi nhánh
Accounting Unit,Đơn vị hạch toán
Company Wide View,Xem toàn công ty
Official Posting,Hạch toán sổ cái
Official Journal Entry,Bút toán sổ cái
Posting Scope,Phạm vi ghi nhận
Direction,Loại phiếu
Receive,Thu
Pay,Chi
Official,Hạch toán sổ cái
Internal,Nội bộ chi nhánh
Detail,Chi tiết
Summary,Tổng hợp
View Mode,Chế độ xem
Posting Date,Ngày hạch toán
Amount,Số tiền
Remarks,Diễn giải
Cash Account,Tài khoản quỹ
Offset Account,Tài khoản đối ứng
Open Journal Entry,Mở bút toán
New Branch Cash Entry,Tạo phiếu quỹ chi nhánh
New Internal Summary Entry,Tạo bút toán tổng hợp nội bộ
"Official mode will create a Journal Entry on submit.","Chế độ hạch toán sổ cái sẽ tự tạo bút toán khi nộp phiếu."
"Internal mode keeps the transaction inside branch cash management only.","Chế độ nội bộ chỉ ghi nhận trong quỹ chi nhánh, không hạch toán vào sổ cái."
"Internal summary entries only update the internal book and do not post to the general ledger.","Bút toán tổng hợp nội bộ chỉ ghi nhận vào sổ nội bộ, không hạch toán vào sổ cái."
Company,Công ty
Branch,Chi nhánh
From Date,Từ ngày
To Date,Đến ngày
So Noi Bo,Sổ Quỹ Chi Nhánh
Cash Book,Sổ Quỹ Tiền Mặt
Bank Account Book,Sổ Tài Khoản Ngân Hàng
Account Detail Ledger,Sổ Chi Tiết Tài Khoản
Trial Balance Sheet,Bảng Cân Đối Số Phát Sinh
Cash Receipts,Thu Tiền Mặt
Cash Payments,Chi Tiền Mặt
Bank Receipts,Thu Ngân Hàng
Bank Payments,Chi Ngân Hàng
Internal Transfer,Điều Chuyển Nội Bộ
Term Deposit,Tiền Gửi Có Kỳ Hạn
Bank Loan,Khoản Vay Ngân Hàng
Term Deposit Interest,Lãi Tiền Gửi
Bank Loan Repayment,Kỳ Trả Nợ Vay
Interest Schedule,Lịch Trả Lãi
Repayment Schedule,Lịch Trả Nợ
VN Accounting Settings,Cài Đặt Kế Toán VN
End of Term,Cuối kỳ
Monthly,Hàng tháng
Quarterly,Hàng quý
Prepaid,Trả trước
Compound,Lãi nhập gốc
Interest Only,Trả lãi hàng kỳ + gốc cuối kỳ
EMI,Trả đều (gốc + lãi)
Fixed,Cố định
Floating,Thả nổi
Draft,Nháp
Active,Đang hoạt động
Matured,Đã đáo hạn
Settled,Đã tất toán
Early Settled,Tất toán trước hạn
Pending,Chờ xử lý
Draft Created,Đã tạo nháp
Booked,Đã hạch toán
Principal Amount,Số tiền gốc
Annual Interest Rate (%),Lãi suất (%/năm)
Interest Payment Type,Kiểu trả lãi
Start Date,Ngày bắt đầu
Maturity Date,Ngày đáo hạn
Term (Months),Kỳ hạn (tháng)
Early Withdrawal Rate (%),Lãi suất tất toán trước hạn (%)
Alert Days Before Maturity,Cảnh báo trước (ngày)
Total Interest,Tổng lãi dự kiến
Deposit Number,Số sổ tiền gửi
Deposit Account (1281),TK tiền gửi có kỳ hạn (1281)
Interest Income Account (515),TK doanh thu lãi (515)
Loan Amount,Số tiền vay
Outstanding Amount,Dư nợ hiện tại
Rate Type,Loại lãi suất
Repayment Type,Kiểu trả nợ
Repayment Frequency,Tần suất trả
Loan Number,Số hợp đồng vay
Loan Account (3411),TK nợ vay (3411)
Interest Expense Account (635),TK chi phí lãi vay (635)
Total Repayment,Tổng trả (gốc + lãi)
Due Date,Ngày đến hạn
Interest Amount,Tiền lãi
Principal at Start,Gốc đầu kỳ
Total Amount,Tổng tiền
Outstanding After,Dư nợ sau trả
Journal Entry,Bút toán
Status,Trạng thái
Bank,Ngân hàng
Bank Account,Tài khoản ngân hàng
Company,Công ty
Remarks,Ghi chú
Notes,Ghi chú
Summary,Tổng hợp
Deposit Info,Thông tin tiền gửi
Loan Info,Thông tin khoản vay
Terms,Điều khoản
Default Deposit Account,TK tiền gửi mặc định
Default Interest Income Account,TK doanh thu lãi mặc định
Default Loan Account,TK nợ vay mặc định
Default Interest Expense Account,TK chi phí lãi mặc định
Deposit Alert Days Before Maturity,Cảnh báo đáo hạn tiền gửi (ngày)
Loan Alert Days Before Maturity,Cảnh báo đáo hạn vay (ngày)
Term Deposits & Bank Loans,Tiền Gửi & Khoản Vay
Maturity Alerts,Cảnh Báo Đáo Hạn
Term deposit account (default 1281),TK tiền gửi có kỳ hạn (1281)
Interest income account (default 515),TK doanh thu lãi tiền gửi (515)
Loan payable account (default 3411),TK nợ vay (3411)
Interest expense account (default 635),TK chi phí lãi vay (635)
